key,value,language,iso_lang
Enter password,รหัสผ่าน, Thai,tha
LOGIN,เข้าสู่ระบบ, Thai,tha
FORGOT PASSWORD?,ลืมรหัสผ่าน?, Thai,tha
SIGNUP,สมัครสมาชิก, Thai,tha
Full Name,ชื่อเต็ม, Thai,tha
Enter full name,กรุณากรอกชื่อเต็ม, Thai,tha
ALREADY HAVE AN ACCOUNT?,มีบัญชีอยู่แล้วหรือไม่?, Thai,tha
Guides,คู่มือ, Thai,tha
Favorites,รายการโปรด, Thai,tha
Glossary,พจนานุกรม, Thai,tha
TASKS,งาน, Thai,tha
TASK TYPES,ประเภทของงาน, Thai,tha
DIVISIONS,แผนก, Thai,tha
USEFUL LINKS,ลิงก์ที่เป็นประโยชน์, Thai,tha
Useful links,ลิงก์ที่เป็นประโยชน์, Thai,tha
Tasks,งาน, Thai,tha
Task types,ประเภทของงาน, Thai,tha
Divisions,แผนก, Thai,tha
Log in,लॉग इन करें, Hindi,hin
Enter Email...,ईमेल दर्ज करें..., Hindi,hin
Password,पासवर्ड, Hindi,hin
Enter password,पासवर्ड दर्ज करें, Hindi,hin
LOGIN,लॉग इन करें, Hindi,hin
FORGOT PASSWORD?,पासवर्ड भूल गए?, Hindi,hin
SIGNUP,साइन अप करें, Hindi,hin
Full Name,पूरा नाम, Hindi,hin
Enter full name,पूरा नाम दर्ज करें, Hindi,hin
ALREADY HAVE AN ACCOUNT?,क्या आपके पास पहले से ही खाता है?, Hindi,hin
Guides,मार्गदर्शिकाएँ, Hindi,hin
Favorites,पसंदीदा, Hindi,hin
Glossary,शब्दकोश, Hindi,hin
TASKS,कार्य, Hindi,hin
TASK TYPES,कार्य प्रकार, Hindi,hin
DIVISIONS,विभाग, Hindi,hin
USEFUL LINKS,उपयोगी लिंक, Hindi,hin
Useful links,उपयोगी लिंक, Hindi,hin
Tasks,कार्य, Hindi,hin
Task types,कार्य प्रकार, Hindi,hin
Divisions,विभाग, Hindi,hin
Log in,लग इन करें, Nepali,nep
Enter Email...,इमेल दिनुहोस् ..., Nepali,nep
Password,पासवर्ड, Nepali,nep
Enter password,पासवर्ड राख्नुहोस्, Nepali,nep
LOGIN,लग इन, Nepali,nep
FORGOT PASSWORD?,पासवर्ड बिर्सनु भयो?, Nepali,nep
SIGNUP,साइन अप गर्नुहोस्, Nepali,nep
Full Name,पूरा नाम, Nepali,nep
Enter full name,पूरा नाम राख्नुहोस्, Nepali,nep
ALREADY HAVE AN ACCOUNT?,पहिल्यै खाता छ?, Nepali,nep
Guides,गाइडहरू, Nepali,nep
Favorites,मनपराउने, Nepali,nep
Glossary,शब्दावली, Nepali,nep
TASKS,कामहरू, Nepali,nep
TASK TYPES,कामका प्रकारहरू, Nepali,nep
DIVISIONS,विभाजनहरू, Nepali,nep
USEFUL LINKS,उपयोगी लिंक, Nepali,nep
Useful links,उपयोगी लिंक, Nepali,nep
Tasks,कार्य, Nepali,nep
Task types,कार्य प्रकार, Nepali,nep
Divisions,विभाग, Nepali,nep
Log in,Masuk, Indonesian,ind
Enter Email...,Masukkan Email..., Indonesian,ind
Password,Kata Sandi, Indonesian,ind
Enter password,Masukkan kata sandi, Indonesian,ind
LOGIN,Masuk, Indonesian,ind
FORGOT PASSWORD?,Lupa Kata Sandi?, Indonesian,ind
SIGNUP,Daftar, Indonesian,ind
Full Name,Nama Lengkap, Indonesian,ind
Enter full name,Masukkan nama lengkap, Indonesian,ind
ALREADY HAVE AN ACCOUNT?,Sudah memiliki akun?, Indonesian,ind
Guides,Panduan, Indonesian,ind
Favorites,Favorit, Indonesian,ind
Glossary,Glosarium, Indonesian,ind
TASKS,Tugas, Indonesian,ind
TASK TYPES,Jenis Tugas, Indonesian,ind
DIVISIONS,Divisi, Indonesian,ind
USEFUL LINKS,Tautan Berguna, Indonesian,ind
Useful links,Tautan Berguna, Indonesian,ind
Tasks,Tugas, Indonesian,ind
Task types,Jenis Tugas, Indonesian,ind
Divisions,Divisi, Indonesian,ind
Log in,ចូល, Khmer,khm
Enter Email...,បញ្ចូលអ៊ីមែល..., Khmer,khm
Password,ពាក្យសម្ងាត់, Khmer,khm
Enter password,បញ្ចូលពាក្យសម្ងាត់, Khmer,khm
LOGIN,ចូល, Khmer,khm
FORGOT PASSWORD?,ភ្លេចពាក្យសម្ងាត់?, Khmer,khm
SIGNUP,ចុះឈ្មោះ, Khmer,khm
Full Name,ឈ្មោះពេញ, Khmer,khm
Enter full name,បញ្ចូលឈ្មោះពេញ, Khmer,khm
ALREADY HAVE AN ACCOUNT?,មានគណនីរួចហើយឬទេ?, Khmer,khm
Guides,គោលដៅ, Khmer,khm
Favorites,សំណើច, Khmer,khm
Glossary,វចនានុក្រម, Khmer,khm
TASKS,ការងារ, Khmer,khm
TASK TYPES,ប្រភេទការងារ, Khmer,khm
DIVISIONS,ផ្នែក, Khmer,khm
USEFUL LINKS,តំណួរសម្រាប់បង្កើតគណនី, Khmer,khm
Useful links,តំណួរសម្រាប់បង្កើតគណនី, Khmer,khm
Tasks,ការងារ, Khmer,khm
Task types,ប្រភេទការងារ, Khmer,khm
Divisions,ផ្នែក, Khmer,khm
Log in,ဝင်ရန်, Burmese,bur
